portfolio,2p_expected_return, 2p_sharpe_ratio, 2p_volatility,4p_expected_return, 4p_sharpe_ratio, 4p_volatility,maxS_expected_return, maxS_sharpe_ratio, maxS_volatility,minV_expected_return, minV_sharpe_ratio, minV_volatility
GB00BD3RZ368_IE00B523L313_IE00B9M1BB17,0.0208040329726,0.0357663671991,0.0224801408573GB00BD3RZ368_IE00B523L313_IE00B9M1BB17,0.0419838813436,0.549596944379,0.0400000064928GB00BD3RZ368_IE00B523L313_IE00B9M1BB17,0.0641010628412,0.600148181004,0.0734836232735GB00BD3RZ368_IE00B523L313_IE00B9M1BB17,0.0581385167619,0.532627078966,0.0716045395889
GB00BD3RZ582_IE00B3X1NT05_IE00BFRTDB69,0.0213177461591,0.0518001411081,0.0254390457423GB00BD3RZ582_IE00B3X1NT05_IE00BFRTDB69,0.0384136297195,0.460340741384,0.0400000001392GB00BD3RZ582_IE00B3X1NT05_IE00BFRTDB69,0.0637984079336,0.517392234363,0.0846522329186GB00BD3RZ582_IE00B3X1NT05_IE00BFRTDB69,0.0620767915547,0.509580531572,0.0825714267869
IE00B3X1NT05_GB00B4M89245_IE00BH65QH62,0.0155988435354,-0.220057802059,0.0200000019242IE00B3X1NT05_GB00B4M89245_IE00BH65QH62,0.0322266603476,0.305666426511,0.0400000107541IE00B3X1NT05_GB00B4M89245_IE00BH65QH62,0.0530692742489,0.493957640103,0.0669475913806IE00B3X1NT05_GB00B4M89245_IE00BH65QH62,0.0451825326662,0.445192631427,0.0565654750067
IE00B523L313_GB00B5B71Q71_GB00B4M89245,0.0803878662887,0.730404460233,0.082677296726IE00B523L313_GB00B5B71Q71_GB00B4M89245,0.0803870338491,0.730394392523,0.0826772966322IE00B523L313_GB00B5B71Q71_GB00B4M89245,0.100700755611,0.853488481417,0.0945540067241IE00B523L313_GB00B5B71Q71_GB00B4M89245,0.098882835761,0.851547232768,0.0926347156395
GB00B5B71Q71_GB00B45Q9038_IE00B9M1BB17,0.0191837054907,-0.0359350554156,0.022715827202GB00B5B71Q71_GB00B45Q9038_IE00B9M1BB17,0.0460766527665,0.651916218739,0.0400000061618GB00B5B71Q71_GB00B45Q9038_IE00B9M1BB17,0.0821507088712,0.790361091606,0.0786358406699GB00B5B71Q71_GB00B45Q9038_IE00B9M1BB17,0.0756544483085,0.773993477141,0.0719055779566
IE00B50MZ948_GB00B45Q9038_GB00B4M89245,0.0473543660341,0.291809134059,0.0937406093278IE00B50MZ948_GB00B45Q9038_GB00B4M89245,0.0473544313331,0.291809830702,0.0937406093116IE00B50MZ948_GB00B45Q9038_GB00B4M89245,0.0535757959114,0.340137364649,0.0987124597325IE00B50MZ948_GB00B45Q9038_GB00B4M89245,0.0514336548474,0.319971224474,0.0982390053954
GB00BD3RZ582_GB00B5B71Q71_IE00B1S75374,0.0462111597004,0.439029047029,0.059702563823GB00BD3RZ582_GB00B5B71Q71_IE00B1S75374,0.0462104236593,0.439016719122,0.0597025637467GB00BD3RZ582_GB00B5B71Q71_IE00B1S75374,0.0898765021595,0.6985913999,0.100024853111GB00BD3RZ582_GB00B5B71Q71_IE00B1S75374,0.0883667430505,0.68678250726,0.0995464245635
IE00B3X1NT05_IE00B50MZ948_IE00BDFB7639,0.0297278451997,0.486392228618,0.0200000012898IE00B3X1NT05_IE00B50MZ948_IE00BDFB7639,0.0387356656199,0.468391410282,0.0400000196601IE00B3X1NT05_IE00B50MZ948_IE00BDFB7639,0.0500231380306,0.409601053783,0.0732984882566IE00B3X1NT05_IE00B50MZ948_IE00BDFB7639,0.0458023191211,0.319026858438,0.0808782033195
IE00B3X1NT05_IE00BH65QH62_IE00B9M1BB17,0.0196315771505,-0.0184211417678,0.0200000007694IE00B3X1NT05_IE00BH65QH62_IE00B9M1BB17,0.0317130494722,0.292826212427,0.0400000033299IE00B3X1NT05_IE00BH65QH62_IE00B9M1BB17,0.0429261766217,0.374454101131,0.0612255989517IE00B3X1NT05_IE00BH65QH62_IE00B9M1BB17,0.0340978535365,0.307306946603,0.0458754795239
GB00B5B71H80_IE00B3X1NT05_IE00BH65QH62,0.0135744587046,-0.321277061574,0.020000000199GB00B5B71H80_IE00B3X1NT05_IE00BH65QH62,0.0251250701464,0.128126753272,0.0400000001209GB00B5B71H80_IE00B3X1NT05_IE00BH65QH62,0.0505137725787,0.335739324157,0.09088531007GB00B5B71H80_IE00B3X1NT05_IE00BH65QH62,0.0431581127269,0.287342199414,0.080594193175
IE00B50MZ724_IE00B523L313_IE00B1S75374,0.0452867734018,0.403309205766,0.0626982301427IE00B50MZ724_IE00B523L313_IE00B1S75374,0.0452856041952,0.403290558435,0.0626982300138IE00B50MZ724_IE00B523L313_IE00B1S75374,0.0739876612057,0.604264948009,0.0893443536374IE00B50MZ724_IE00B523L313_IE00B1S75374,0.0716094198979,0.568455894336,0.0907887848681
IE00B523L313_GB00B4M89245_IE00BH65QH62,0.0175288150963,-0.123559244534,0.0200000001054IE00B523L313_GB00B4M89245_IE00BH65QH62,0.0367378005278,0.418444666153,0.0400000331744IE00B523L313_GB00B4M89245_IE00BH65QH62,0.0645674803831,0.63092063585,0.0706388059776IE00B523L313_GB00B4M89245_IE00BH65QH62,0.0527663024203,0.55493315599,0.0590454941583
IE00B523L313_GB00B5B71Q71_IE00B9M1BB17,0.0209548323008,0.0423194552003,0.0225624903795IE00B523L313_GB00B5B71Q71_IE00B9M1BB17,0.0473374097834,0.683435244455,0.0400000000076IE00B523L313_GB00B5B71Q71_IE00B9M1BB17,0.0904570809052,0.796400977259,0.0884693551578IE00B523L313_GB00B5B71Q71_IE00B9M1BB17,0.0874328151167,0.793662684874,0.0849640740353
GB00BD3RZ582_IE00B50W2R13_IE00B9M1BB17,0.031653497369,0.58267479587,0.0200000024912GB00BD3RZ582_IE00B50W2R13_IE00B9M1BB17,0.0452263054998,0.630661844731,0.0399997331542GB00BD3RZ582_IE00B50W2R13_IE00B9M1BB17,0.0452263054998,0.630661844731,0.0399997331542GB00BD3RZ582_IE00B50W2R13_IE00B9M1BB17,0.0470372941373,0.602720583709,0.0448587535718
GB00BD3RZ368_IE00B50MZ948_IE00BDFB7639,0.0264018709418,0.320093545104,0.0200000001242GB00BD3RZ368_IE00B50MZ948_IE00BDFB7639,0.0317821053492,0.294552440072,0.0400000262987GB00BD3RZ368_IE00B50MZ948_IE00BDFB7639,0.0372081008758,0.260423641397,0.0660773376161GB00BD3RZ368_IE00B50MZ948_IE00BDFB7639,0.0363849914928,0.228607465274,0.0716730377686
GB00BD3RZ582_IE00B1S74Q32_IE00B1S75374,0.0462488616165,0.499754732232,0.0525234878702GB00BD3RZ582_IE00B1S74Q32_IE00B1S75374,0.0462484252011,0.499746423595,0.0525234878367GB00BD3RZ582_IE00B1S74Q32_IE00B1S75374,0.0586698208539,0.629025637758,0.0614757468261GB00BD3RZ582_IE00B1S74Q32_IE00B1S75374,0.0552773118654,0.610514935799,0.0577828809695
